epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.36153,1.09722,2.27552,1.48727,0.84826,0.34509,0.47479,0.31417,1.21898,2.56777,1.62644,0.000542744,0.000542744,0.000542744
2,12.7802,1.22534,1.70471,1.55307,0.68849,0.60494,0.63877,0.34464,1.35743,1.93129,1.82637,0.00108754,0.00108754,0.00108754
3,17.1665,1.21755,1.49174,1.54901,0.53357,0.39506,0.39637,0.23603,1.84513,2.17278,2.28085,0.00162133,0.00162133,0.00162133
4,23.7596,1.23765,1.42014,1.52788,0.59632,0.52889,0.544,0.27984,1.94766,2.20762,2.47506,0.00161749,0.00161749,0.00161749
5,30.1282,1.20084,1.29509,1.53331,0.5909,0.46368,0.55196,0.3296,1.36537,1.94284,1.82178,0.00160099,0.00160099,0.00160099
6,36.4764,1.17247,1.18215,1.47388,0.79509,0.71605,0.76886,0.51826,1.21983,1.26372,1.73516,0.00158448,0.00158448,0.00158448
7,42.8941,1.16799,1.09537,1.48923,0.86225,0.76543,0.79464,0.51781,1.26082,1.18313,1.76012,0.00156798,0.00156798,0.00156798
8,49.4042,1.17859,1.08321,1.51339,0.86814,0.75309,0.7695,0.51514,1.37694,1.03361,1.8722,0.00155148,0.00155148,0.00155148
9,56.0615,1.1216,0.99024,1.44884,0.87957,0.76543,0.82955,0.57003,1.26695,0.96873,1.73866,0.00153497,0.00153497,0.00153497
10,60.6473,1.09797,0.93839,1.41896,0.90695,0.72202,0.83851,0.57428,1.16703,0.96111,1.6119,0.00151847,0.00151847,0.00151847
11,64.8149,1.08117,0.89207,1.41488,0.9283,0.79927,0.86942,0.57975,1.20138,0.93744,1.79301,0.00150197,0.00150197,0.00150197
12,68.8635,1.1026,0.93851,1.41774,0.90228,0.68403,0.79084,0.52528,1.23497,1.0052,1.65814,0.00148546,0.00148546,0.00148546
13,72.8942,1.07409,0.91721,1.4071,0.88346,0.74878,0.81657,0.54819,1.18681,1.0316,1.62699,0.00146896,0.00146896,0.00146896
14,76.9618,1.06737,0.88148,1.4078,0.8223,0.79981,0.81064,0.51706,1.3169,1.08327,1.82868,0.00145246,0.00145246,0.00145246
15,80.9488,1.06341,0.9018,1.41135,0.91858,0.74074,0.84205,0.60505,1.04754,0.84526,1.59385,0.00143595,0.00143595,0.00143595
16,84.9284,1.03038,0.81128,1.38481,0.78661,0.72814,0.72504,0.50288,1.21169,1.20024,1.62141,0.00141945,0.00141945,0.00141945
17,88.9893,1.0348,0.8325,1.37998,0.90208,0.79617,0.84704,0.59086,1.19857,0.9199,1.68683,0.00140295,0.00140295,0.00140295
18,92.9476,1.01169,0.78425,1.35692,0.88972,0.79687,0.87835,0.62922,1.03403,0.79534,1.44858,0.00138644,0.00138644,0.00138644
19,96.8734,0.99808,0.80596,1.35826,0.91697,0.81812,0.89404,0.63212,1.05698,0.74638,1.52477,0.00136994,0.00136994,0.00136994
20,100.838,1.00408,0.75948,1.36252,0.87862,0.8043,0.86374,0.65171,0.92842,0.72415,1.41961,0.00135344,0.00135344,0.00135344
21,104.952,0.97191,0.75329,1.33708,0.86677,0.80322,0.85551,0.63404,0.98763,0.72499,1.43807,0.00133693,0.00133693,0.00133693
22,109.049,0.97752,0.73842,1.34514,0.8743,0.87654,0.88666,0.65141,1.03571,0.75055,1.51315,0.00132043,0.00132043,0.00132043
23,113.033,0.9554,0.72231,1.31753,0.9393,0.77778,0.86434,0.64541,1.03029,0.78296,1.48635,0.00130393,0.00130393,0.00130393
24,117.097,0.95774,0.73685,1.32107,0.92793,0.79482,0.86901,0.58648,1.10565,0.78616,1.56978,0.00128742,0.00128742,0.00128742
25,121.128,0.93184,0.72811,1.29457,0.91621,0.82716,0.88401,0.65119,0.98477,0.72885,1.43054,0.00127092,0.00127092,0.00127092
26,125.124,0.93721,0.70228,1.30783,0.86153,0.88889,0.90602,0.67602,0.92683,0.64734,1.37643,0.00125442,0.00125442,0.00125442
27,129.079,0.93036,0.72646,1.29541,0.90015,0.77907,0.89077,0.64026,1.00496,0.7249,1.50263,0.00123791,0.00123791,0.00123791
28,132.998,0.90152,0.67796,1.2761,0.87363,0.8535,0.88194,0.6334,0.95745,0.70197,1.42124,0.00122141,0.00122141,0.00122141
29,137.189,0.91789,0.66528,1.29101,0.94451,0.77778,0.83602,0.628,0.92324,0.72465,1.37809,0.00120491,0.00120491,0.00120491
30,141.217,0.92265,0.68526,1.2642,0.92656,0.77876,0.863,0.63013,1.00538,0.78814,1.42935,0.0011884,0.0011884,0.0011884
31,145.173,0.90557,0.64314,1.26585,0.90793,0.8642,0.91655,0.6685,0.94698,0.63744,1.38773,0.0011719,0.0011719,0.0011719
32,149.186,0.88912,0.63094,1.26163,0.85178,0.8642,0.87243,0.66969,0.93942,0.66805,1.40432,0.0011554,0.0011554,0.0011554
33,153.232,0.89072,0.6348,1.26235,0.84067,0.85185,0.87436,0.64404,0.96674,0.65337,1.42888,0.00113889,0.00113889,0.00113889
34,157.262,0.89321,0.6349,1.26133,0.92919,0.81003,0.88179,0.67553,0.92173,0.63363,1.37625,0.00112239,0.00112239,0.00112239
35,161.306,0.87912,0.63147,1.25364,0.89937,0.88889,0.8817,0.65702,0.97455,0.66529,1.46714,0.00110589,0.00110589,0.00110589
36,165.344,0.86108,0.61526,1.25449,0.8748,0.86261,0.91442,0.63514,1.13379,0.69875,1.55848,0.00108938,0.00108938,0.00108938
37,169.396,0.85477,0.60666,1.24172,0.91769,0.82716,0.9065,0.65447,1.03607,0.69357,1.46793,0.00107288,0.00107288,0.00107288
38,173.443,0.87138,0.6275,1.24695,0.87942,0.8642,0.90716,0.68719,0.87716,0.6816,1.33282,0.00105638,0.00105638,0.00105638
39,177.471,0.85331,0.6093,1.25264,0.95448,0.77667,0.86269,0.65601,0.90474,0.67,1.38484,0.00103987,0.00103987,0.00103987
40,181.437,0.83327,0.6059,1.22843,0.92679,0.78144,0.89653,0.68514,0.90105,0.61881,1.36329,0.00102337,0.00102337,0.00102337
41,185.428,0.84775,0.60126,1.23335,0.90669,0.81481,0.88946,0.67316,0.8657,0.64743,1.34302,0.00100687,0.00100687,0.00100687
42,189.489,0.82038,0.59079,1.23633,0.94859,0.80247,0.88976,0.67612,0.90647,0.60717,1.40571,0.000990365,0.000990365,0.000990365
43,193.511,0.83438,0.56606,1.22104,0.94079,0.82716,0.9088,0.66357,0.98923,0.60965,1.44745,0.000973861,0.000973861,0.000973861
44,197.498,0.81862,0.58981,1.22947,0.93129,0.83669,0.87362,0.66937,0.93682,0.63121,1.42507,0.000957358,0.000957358,0.000957358
45,201.583,0.80143,0.54244,1.20705,0.94272,0.8128,0.86874,0.67373,0.89223,0.64213,1.37039,0.000940855,0.000940855,0.000940855
46,205.687,0.82014,0.57676,1.21115,0.93029,0.82381,0.90073,0.68456,0.88788,0.64022,1.355,0.000924352,0.000924352,0.000924352
47,209.721,0.80395,0.57635,1.21031,0.92958,0.8642,0.9019,0.70215,0.82344,0.53103,1.27922,0.000907848,0.000907848,0.000907848
